Source_College,Source_State,Source_Quota,Source_Category,Source_PwD,Source_ClosingRank,Sug1_Name,Sug1_Score,Sug2_Name,Sug2_Score,Sug3_Name,Sug3_Score,CHOSEN
C0003,,AIQ,OBC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",34,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL, Madhya Pradesh, 462020 | MP | All India Quota (AIQ)",33,1
C0005,,Central,SC,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0005,,Central,ST,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0006,,Central,OBC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"Gmc, Bahraich, K.D.C Road Bahraich-271801, Uttar Pradesh, 271801 | UP | All India Quota (AIQ)",30,2
C0006,,Central,EWS,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,2
C0006,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,2
C0006,,Central,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,2
C0006,,Central,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0007,,Central,OBC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",31,"Gmc, Bahraich, K.D.C Road Bahraich-271801, Uttar Pradesh, 271801 | UP | All India Quota (AIQ)",30,2
C0007,,Central,EWS,N,,"AIIMS, Patna, Phulwarisharif, Patna, Bihar-801507, Bihar, 801507 | Bihar | All India Quota (AIQ)",32,"MEDICAL COLLEGE, KOLKATA, 88, College Street, Kolkata-700073, West Bengal, 700073 | WB | All India Quota (AIQ)",31,"MEDICAL COLLEGE, KOLKATA, 88, College Street, Kolkata-700073, West Bengal, 700073 | WB | All India Quota (AIQ)",31,2
C0007,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",34,2
C0007,,Central,SC,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Patna, Phulwarisharif, Patna, Bihar-801507, Bihar, 801507 | Bihar | All India Quota (AIQ)",32,"AIIMS, Patna, Phulwarisharif, Patna, Bihar-801507, Bihar, 801507 | Bihar | All India Quota (AIQ)",32,2
C0007,,Central,ST,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0008,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,2
C0010,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0010,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0011,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0011,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0012,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0013,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0013,,Management,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",31,2
C0014,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0014,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0015,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0015,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0016,,AIQ,General,N,,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,2
C0016,,AIQ,General,N,,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,2
C0017,,AIQ,General,N,,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,2
C0017,,AIQ,General,N,,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167 | Telangana | All India Quota (AIQ)",35,2
C0018,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,2
C0019,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0020,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0020,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0021,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0021,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0022,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0023,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0023,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0023,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,2
C0024,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0025,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0026,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0027,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0028,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",35,2
C0029,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0030,,AIQ,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",33,2
C0031,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0032,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0032,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
C0032,,Central,General,N,,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,"Osmania Medical College Koti , HYDERABAD, Telangana, 500095 | Telangana | All India Quota (AIQ)",32,2
C0033,,AIQ,General,N,,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,"AIIMS, Madurai, AIIMS MADURAI, Tamil Nadu, 625008 | TN | All India Quota (AIQ)",33,2
