College Name,State,EWS,General,OBC,SC,ST
"Amrita School of Medicine Faridabad, Mata Amritanandmayi Marg, Sector-88, Faridabad, Haryana, 121002",Haryana,,881922.0,,,
"Andaman and Nicobar Islands Institute of Medical S, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104, Andaman And Nicobar Islands, 744104",Port Blair,21558.0,12014.0,19826.0,104569.0,125622.0
"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM, Andhra Pradesh, 530002",Andhra Pradesh,7095.0,3935.0,5104.0,40812.0,57960.0
"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI, ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",Delhi,1009.0,712303.0,780907.0,58220.0,14062.0
"Autonomous State Medical Collage, Kushinagar, Uttar Pradesh, Autonomous State Medical Collage, Kubersthan Road, Harka, Kushinagar, Uttar Pradesh, 274304",UP,15370.0,13983.0,16175.0,80124.0,
"Autonomous State Medical College , Fatehpur, Autonomous State Medical College Village chittaura near Allipur GT road fatehpur, Uttar Pradesh, 212601",UP,14596.0,13502.0,14614.0,89467.0,104924.0
"Autonomous State Medical College ,Etah, NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.- 207001, Uttar Pradesh, 207001",UP,14072.0,532642.0,13655.0,89526.0,103371.0
"Autonomous State Medical College Society , Mirzapur, MAA VINDHYAVASINI AUTONOMOUS STATE MEDICAL COLLEGE PIPARDARH, VISHUNDERPUR, MIRZAPUR, Uttar Pradesh, 231001",UP,17073.0,14400.0,421374.0,922467.0,111337.0
"Autonomous State Medical College, Ghazipur, Principal Prashasnik Bhawan MV Autonomous State Medical College RTI Chauraha Ghazipur, Uttar Pradesh, 233001",UP,16213.0,15183.0,15937.0,90264.0,113723.0
"Autonomous State Medical College, Gonda, Chhavanni Sarkar Infront of Circuit House Gonda, Uttar Pradesh, 271001",UP,18357.0,581553.0,16860.0,92544.0,112771.0
"Autonomous State Medical College, Kanpur Dehat, Uttar Pradesh, Kumbhi, Akabarpur, Kanpur Dehat U.P., Uttar Pradesh, 209101",UP,13411.0,13409.0,14958.0,83144.0,96527.0
"Autonomous State Medical College, Lakhimpur Kheri, Uttar Pradesh, Near Deokali Temple, Saidapur Bhau, Uttar Pradesh, 262701",UP,17169.0,590235.0,709434.0,95644.0,116142.0
"Autonomous State Medical College, Lalitpur, U.P, Amarpur Galla Mandi Jhansi Road Lalitpur, Uttar Pradesh, 284403",UP,18487.0,15683.0,16674.0,95676.0,112116.0
"Autonomous State Medical College, Pilibhit, Uttar Pradesh, SH26 Bithaura Kalan Puranpur Road Pilibhit, Uttar Pradesh, 262001",UP,17471.0,14571.0,16994.0,89345.0,114856.0
"Autonomous State Medical College, Pratapgarh, Pure Keshav Rai Gay Ghat Road Pratapgarh, Uttar Pradesh, 230001",UP,16768.0,548683.0,15429.0,91457.0,109057.0
"Autonomous State Medical College, Siddharthnagar, Autonomous State Medical College Siddharthnagar 71 Ashok Marg Village Mudila Naugarh Uttar Prade, Uttar Pradesh, 272207",UP,14051.0,13648.0,758496.0,90471.0,104601.0
"Autonomous State Medical College, Sonebhadra, Rounp Rd, Churk,Robertsganj, Sonebhadra, Uttar Pradesh, 231216",UP,17823.0,626070.0,17711.0,96570.0,115781.0
"Autonomous State Medical College, Sultanpur, Uttar Pradesh, Autonomous State Medical College Dubepur Sultanpur, Uttar Pradesh, 227808",UP,17806.0,15600.0,16796.0,92434.0,109960.0
"Autonomous State Medical college Society Hardoi, Gaura Danda, Sitapur Road, Hardoi, Uttar Pradesh, 241001",UP,14309.0,14227.0,15616.0,87884.0,108144.0
"Autonomous state Medical College, Kaushambi, Kadipur Manjhanpur Kaushambi District, Uttar Pradesh, 212207",UP,17261.0,16095.0,17035.0,93078.0,116120.0
"Autonomous state Medical College, Sehud , Auraiya, Sehud Auraiya, Uttar Pradesh, 206122",UP,900319.0,16086.0,17521.0,1208862.0,
"B.J. Government Medical College, Pune, Sassoon Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",Maharashtra,165228.0,210517.0,204934.0,639172.0,62013.0
"B.J. MEDICAL COLLEGE, AHMEDABAD, B.J. Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",Gujarat,2677.0,889.0,245143.0,16367.0,55767.0
"B.L.D.E University, Bijapur, SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD VIJAYAPURA KARNATAKA, Karnataka, 586103",Karnataka,,980796.0,,,
"B.R.D. MEDICAL COLLEGE, GORAKHPUR, MAHARAJGANJ ROAD,GORAKHPUR, Uttar Pradesh, 273013",UP,7783.0,6053.0,7479.0,51272.0,72634.0
"BANKURA SAMMILANI MED COLL,BANKURA, Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin- 722102, West Bengal, 722102",WB,16226.0,11895.0,767643.0,78803.0,116414.0
"BELGAUM INST. OF MEDICAL SCI., BELGAUM, DR B R AMBEDKAR ROAD BELAGAVI., Karnataka, 590001",Karnataka,815688.0,7756.0,11043.0,75425.0,
"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR, BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR UDGIR ROAD BIDAR-585401, Karnataka, 585401",Karnataka,18770.0,519024.0,14218.0,84284.0,95045.0
"BPS Govt. Med. College, Sonepat, DIRECTOR, BPS GOVT MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT-131305, Haryana, 131305",Haryana,11735.0,590335.0,9940.0,74227.0,96928.0
"BUNDELKHAND MEDICAL COLLEGE, SAGAR, Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MP,12542.0,9704.0,10863.0,72047.0,96392.0
"BURDWAN MEDICAL COLLEGE,BURDWAN, BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN-713104,WEST BENGAL, West Bengal, 713104",WB,12584.0,396838.0,12345.0,67297.0,103156.0
"BV Deemed Uni. Med. College and Hos., Sangli, Sangli Miraj Road Wanlesswadi Sangli Maharashtra, Maharashtra, 416416",Maharashtra,,933573.0,,,
"Baba Kinaram Autonomous State Medical College, Chandauli, Baba kinaram autonomous state Medical college , Naubatpur ,Chandauli, Uttar Pradesh, 232110",UP,18191.0,719780.0,760593.0,93950.0,121111.0
"Bangalore Medical College and Research Institute, K R ROAD FORT BENGALURU, Karnataka, 560002",Karnataka,4514.0,329081.0,560904.0,23872.0,39918.0
"Barasat Government Medical College & Hospital, West Bengal, 80 Jessore Road Banamalipur JL NO 80and Uttorhat JL no 78 Barasat North Twenty Four Parganas 700124, West Bengal, 700124",WB,18745.0,13148.0,16780.0,73405.0,116504.0
"Bharati Vidyapeeth DU Medical College, Dhankawadi, Pune-Satara Road, Pune, Maharashtra, 411043",Maharashtra,,966585.0,,,
"Bhima Bhoi Medical College and Hospital , Balangir, PO - Rajendra College, District- Balangir, Odisha., Odisha, 767002",Odisha,20482.0,13609.0,16234.0,60630.0,127876.0
"C. Institute of Medical Sciences, Chamarajanagar, SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGARA TALUK AND DISTRICT, Karnataka, 571313",Karnataka,22472.0,14419.0,837599.0,86328.0,104491.0
"CALCUTTA NATIONAL MED COLL,KOLKATA, 32, GORACHAND ROAD, PARK CIRCUS, KOLKATA - 700014, West Bengal, 700014",WB,9437.0,327112.0,592129.0,44753.0,89140.0
"CHENGALPATTU MEDICAL COLL,CHENGALPATTU, GST ROAD, CHENGALPATTU-603 001 CHENGALPATTU DISTRICT, Tamil Nadu, 603001",TN,17005.0,3814.0,4245.0,20765.0,
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP, GOND PARA, SADAR BAZAAR BILASPUR - 495001 (CG), Chhattisgarh, 495001",Chattisgarh,11511.0,527692.0,11558.0,71211.0,99078.0
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA, AROORU VILLAGE,PERESANDRA POST, CHIKKABALLAPUR KARANATAKA, Karnataka, 562104",Karnataka,22113.0,724237.0,14769.0,89766.0,111163.0
"COIMBATORE MEDICAL COLLEGE,COIMBATORE, CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014",Punjab,15747.0,510735.0,3808.0,24118.0,103716.0
"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI, A Block PS- Kalyani District - Nadia,West Bengal,Pin 741235, West Bengal, 741235",WB,1154614.0,10895.0,12926.0,70966.0,
"Chandulal Chandrakar Memorial Government Medical College, Durg, Chandulal Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur, Chhattisgarh, 490024",Chattisgarh,19738.0,15834.0,771971.0,98909.0,122663.0
"Chettinad Hos. and Res. Inst., Kancheepuram, Rajiv Gandhi Salai, Kelambakkam, Chengalpattu District, Tamil Nadu, 603103",TN,,100396.0,,,
"Chhindwara Institute of Medical Sciences, Teachers Colony, Chhindwara, Madhya Pradesh 480001, Madhya Pradesh, 480001",MP,14978.0,13087.0,14156.0,88859.0,98233.0
"Chikkamagaluru Institute of Medical Sciences, DIRECTOR CHIKKAMAGALURU INSTITUTE OF MEDICAL SCIENCES ARALAGUPPE MALLEGOWDA DISTRICT HOSPITAL TEG, Karnataka, 577101",Karnataka,23078.0,15955.0,16433.0,99928.0,122917.0
"Chitradurga Medical College and Research Institute, P B Road Chitradurga, Karnataka, 577501",Karnataka,22578.0,16313.0,17154.0,102160.0,125638.0
"College Government Medical College Alwar, Government Medical College Alwar Jail Circle alwar, Rajasthan, 301001",Rajasthan,9325.0,7064.0,9182.0,51109.0,71707.0
"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR, Hinaga Road Wanadongri Nagpur Maharashtra India, Maharashtra, 441110",Maharashtra,,996061.0,,,
"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR, In Front of District Civil Court, Solapur., Maharashtra, 413003",Maharashtra,12306.0,10285.0,11871.0,76554.0,103016.0
"DR.RAJENDRA PRASAD MC, TANDA, Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P., Himachal Pradesh, 176002",HP,383339.0,4392.0,5651.0,921855.0,51266.0
"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED, VISHNUPURI NANDED MAHARASHTRA 431606, Maharashtra, 431606",Maharashtra,13312.0,73022.0,374125.0,79494.0,106595.0
"DR.S.N. MEDICAL COLLEGE, JODHPUR, RESIDENCY ROAD SHASTRI NAGAR JODHPUR RAJASTHAN 342 003, Rajasthan, 342003",Rajasthan,708263.0,265157.0,331364.0,33440.0,48922.0
"Darbhanga Medical College, Laheriasarai, Sheetal Prasad Marg, Laheriasarai, Darbhanga, Bihar, 846003",Bihar,9039.0,419431.0,8947.0,64358.0,96744.0
"Deben Mahata Government Medical College & Hospital, Vill Hatuara PO Vivekananda Nagar PS Purulia Muffasil Dist Purulia Pin 723147, West Bengal, 723147",WB,19558.0,534498.0,19532.0,93051.0,127811.0
"Dhubri Medical College, Assam, P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325, Assam, 783325",Assam,22798.0,20273.0,738812.0,1256849.0,129921.0
"Diamond Harbour Govt Medical College, New Town, Post-Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas, West Bengal, 743331",WB,12066.0,11448.0,689156.0,80173.0,108951.0
"Diphu Medical College & Hospital, Assam, principaldiphu@gmail.com, Assam, 782462",Assam,22629.0,20448.0,20668.0,100230.0,116747.0
"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow, Vibhuti Khand Gomti Nagar Lucknow, Uttar Pradesh, 226010",UP,3792.0,3323.0,4283.0,31794.0,56960.0
"Dr. B.R. Ambedkar State Institute of Medical Sciences , Sector 56 Mohali, Punjab, 160055",Punjab,7344.0,4511.0,5370.0,52605.0,70469.0
"Dr. B.S.A. Medical College, Delhi, DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE AND HOSPITAL, ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085",Delhi,2636.0,1772.0,2504.0,15448.0,13670.0
"Dr. DY Patil Medical College and Hospt., Pune, Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune., Maharashtra, 411018",Maharashtra,,875578.0,,,
"Dr. DY Patil Medical College, Navi Mumbai, Plot No. 2, Sector 7, Nerul, Navi Mumbai, Maharashtra, Maharashtra, 400706",Maharashtra,,983099.0,,,
"Dr. DYP Edu. Soc. Deemed Uni., Kolhapur, 869, E Ward, D. Y. Patil Vidyanagar, Kasaba Bavada, Kolhapur 416006, Maharashtra, 416006",Maharashtra,,968467.0,,,
"Dr. YS Parmar Govt. Medical College, Nahan, Nahan, District Sirmaur, Himachal Pradesh, Himachal Pradesh, 173001",HP,8356.0,7501.0,9347.0,59417.0,87699.0
"Dr.Radhakrishnan Government Medical College, Hamirpur, Dr.Radhakrishnan Government Medical College,Hamirpur, Himachal Pradesh, 177001",HP,8627.0,326789.0,9722.0,59139.0,59544.0
"ESI-MC&PGIMS&R, Banglore, ESICMC AND PGIMSR, Rajajinagar, Bengaluru, Karnataka, 560010",Karnataka,27201.0,23267.0,28727.0,1161052.0,391353.0
"ESIC Medical College AND PGIMSR, Chennai, ASHOK PILLAR ROAD, KK NAGAR, CHENNAI, Tamil Nadu, 600078",TN,39589.0,24648.0,830257.0,148246.0,474008.0
"ESIC Medical College, Faridabad, NH 3 NIT FARIDABAD, Haryana, 121001",Haryana,12647.0,10394.0,1065084.0,95893.0,285823.0
"ESIC Medical College, Gulbarga, ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA, Karnataka, 585106",Karnataka,37629.0,170976.0,344846.0,186219.0,432012.0
"ESIC Medical College, Hyderbad, Sanathnagar, Hyderabad, Telangana, 500038",Telangana,991459.0,26336.0,672196.0,146259.0,1017997.0
"ESIC PGIMSR, Joka, Kolkata, WB, DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104, West Bengal, 700104",WB,38376.0,31648.0,35494.0,190094.0,468396.0
"Employees State Insurance Corporation Medical College, Alwar, ESIC Medical College and Hospital Desula MIA Alwar Rajasthan India 301030, Rajasthan, 301030",Rajasthan,17289.0,13302.0,17524.0,119239.0,269576.0
"Fakhruddin Ali Ahmed Medical College, Barpeta, Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",Assam,21139.0,351903.0,20218.0,104412.0,105467.0
"G.S.V.M. MEDICAL COLLEGE, KANPUR, G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",UP,5550.0,226744.0,5462.0,655619.0,61530.0
"GAJRA RAJA MEDICAL COLLEGE, GWALIOR, VEER SAVARKAR ROAD, GWALIOR, Madhya Pradesh, 474009",MP,8631.0,179687.0,7170.0,55037.0,66728.0
"GANDHI MEDICAL COLLEGE, BHOPAL, Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MP,7666.0,105308.0,220462.0,49202.0,65754.0
"GITAM Institue of Med. Sce. and Res., Visakhapatnam, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam, Andhra Pradesh, 530045",Andhra Pradesh,,631933.0,,,
"GMC DAUSA RAJASTHAN, GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA, Rajasthan, 303303",Rajasthan,9592.0,561097.0,10620.0,60187.0,81530.0
"GMC Jangaon, gmc.jangaon@gmail.com, Telangana, 506167",Telangana,20808.0,557153.0,19834.0,100443.0,126893.0
"GMC KARAULI, mandrayal road karauli, Rajasthan, 322241",Rajasthan,12727.0,11635.0,12209.0,76899.0,95572.0
"GMC Kamareddy, Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana, Telangana, 503111",Telangana,24304.0,19972.0,20348.0,104069.0,112712.0
"GMC, Azamgarh, UP, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",UP,12252.0,9989.0,425712.0,68913.0,82489.0
"GMC, Manjeri, Kerala, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM, Kerala, 676121",Kerala,16227.0,4453.0,5058.0,60586.0,111918.0
"GMC, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram., Andhra Pradesh, 533105",AP,899074.0,828030.0,19531.0,85380.0,119778.0
"GMC, Shahjhanpur, AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar Pradesh, 242001",UP,940973.0,574047.0,12722.0,85478.0,100855.0
"GMERS Medical College, Morbi, Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",Gujarat,18907.0,702071.0,17327.0,93826.0,118121.0
"GMERS Medical College, Navsari, Adarsh Nivasi Shala Campus, At- Khambhlav, Po- Sultanpur, Via- Abrama, Ta - Jalalpore, Dist - Navsar, Gujarat, 396406",Gujarat,18734.0,17448.0,19567.0,94348.0,132548.0
"GMERS Medical College, Panchmahal Godhra, Government Engineering College Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001",Gujarat,19716.0,17630.0,18851.0,97582.0,130349.0
"GMERS Medical College, Porbandar, Behind ITI and Navoday Vidyalay, Dharampur, Porbandar, Gujarat, 360578",Gujarat,16335.0,646606.0,697486.0,89070.0,132171.0
"GMERS Medical College, Rajpipla, GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla Dist Narmada, GUJARAT., Gujarat, 393145",Gujarat,20692.0,18038.0,19984.0,97658.0,134204.0
"GOA MEDICAL COLLEGE, PANAJI, RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",Goa,11758.0,391095.0,10305.0,61252.0,87969.0
"GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA, DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR, Maharashtra, 425412",Maharashtra,17163.0,483845.0,16137.0,97338.0,114517.0
"GOVERNMENT MEDICAL COLLEGE ,MEDAK, PILLIKOTYAL, MEDAK MANDAL, MEDAK DISTRICT, Telangana, 502110",Telangana,19796.0,18073.0,20339.0,104671.0,
"GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL, SATARA, GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SATARA DISTRICT CIVIL HOSPITAL CAMPUS SADAR BAZAR CA, Maharashtra, 415001",Maharashtra,18612.0,13129.0,15276.0,93364.0,121048.0
"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR, GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH, Chandigarh, 160030",Chandigarh,1933.0,106483.0,2578.0,14060.0,26373.0
"GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana, The Principal, Government Medical College Karimnagar, Jagtial NH 563, Kothapalli, Karimnagar, Telangana, 505451",Telangana,21286.0,18723.0,863433.0,102429.0,134682.0
"GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM , KARA AGRAHARAM NEAR RADAR STATION MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002, Andhra Pradesh, 521002",Andhra Pradesh,24175.0,18990.0,774189.0,86954.0,136153.0
"GOVERNMENT MEDICAL COLLEGE NANDYAL, principalgmcnandyala@gmail.com, Andhra Pradesh, 518501",Andhra Pradesh,24454.0,868093.0,19791.0,94142.0,120014.0
"GOVERNMENT MEDICAL COLLEGE PURNEA, govt.mcpurnea@gmail.com, Bihar, 854301",BIHAR,15767.0,680755.0,16723.0,749964.0,116925.0
"GOVERNMENT MEDICAL COLLEGE, AKOLA, Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001",Maharashtra,785592.0,301170.0,325372.0,84167.0,109737.0
"GOVERNMENT MEDICAL COLLEGE, BARAN, RAJASTHAN, Melkhedi, Chhapar Melkhedi Road Baran, Rajasthan, 325205",Rajasthan,14611.0,678151.0,12991.0,73530.0,89534.0
"GOVERNMENT MEDICAL COLLEGE, BUNDI, GOVT MEDICAL COLLEGE BUNDI, Rajasthan, 323001",Rajasthan,13942.0,464899.0,11674.0,68952.0,86357.0
"GOVERNMENT MEDICAL COLLEGE, HANDWARA, MAIDAN CHOGAL, HANDWARA, KUPWARA, Jammu And Kashmir, 193221",J&K,21323.0,413608.0,18937.0,100576.0,85106.0
"GOVERNMENT MEDICAL COLLEGE, LATUR, Government Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajasthan Vidyalaya, Lat, Maharashtra, 413512",Maharashtra,15523.0,13256.0,14886.0,88273.0,105247.0
"GOVERNMENT MEDICAL COLLEGE, MIRAJ, Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410",Maharashtra,14254.0,252110.0,349357.0,79866.0,101407.0
"GOVERNMENT MEDICAL COLLEGE, OSMANABAD, New Building, Civil Hospital Compound, Marwad Galli, Osmanabad, Maharashtra, 413501",Maharashtra,19184.0,17216.0,17566.0,92649.0,122369.0
"GOVERNMENT MEDICAL COLLEGE, RAJOURI, Government Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir., Jammu And Kashmir, 185132",J&K,16757.0,15602.0,918298.0,90851.0,96694.0
"GOVERNMENT MEDICAL COLLEGE, SANGAREDDY, OPP. TOWN POLICE STATION, NETAJI NAGAR, SANGAREDDY DISTRICT, TELANGANA - 502001, Telangana, 502001",Telangana,22704.0,18553.0,603005.0,106139.0,124940.0
"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN, Government Medical college sriganganagar rajasthan, Rajasthan, 335001",Rajasthan,11821.0,612278.0,10558.0,67397.0,87766.0
"GOVERNMENT MEDICAL COLLEGE, SURAT, Out Side Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001, Gujarat, 395001",Gujarat,6259.0,384963.0,5432.0,40475.0,67542.0
"GOVT MEDICAL COLLEGE VIZIANAGARAM, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003, Andhra Pradesh, 535003",Andhra Pradesh,24086.0,18762.0,20200.0,92266.0,120297.0
"GOVT MEDICAL COLLEGE, WANAPARTHY , Marrikunta, Pebbair Road, Wanaparthy District, Telangana state., Telangana, 509103",Telangana,24438.0,720808.0,926068.0,109025.0,133436.0
"GOVT. DHARAMAPURI MED COLL,DHARMAPURI, NETHAJI BYPASS ROAD DHARMAPURI, Tamil Nadu, 636701",TN,22081.0,8508.0,9428.0,48710.0,122847.0
